LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002816272-0002-1,SANGHEE HAN,KITCHEN SOODA,618 S SERRANO AVENUE,LOS ANGELES,90005-2847,618 SERRANO 90005-2847,618 S SERRANO AVENUE,LOS ANGELES,90005-2847,722110,Full-service restaurants,10,10/20/2015,,"(34.0629, -118.3065)"
0002713247-0001-7,SAM RUBY INC,RUBY THAI KITCHEN,9301 TAMPA AVENUE SUITE #107,NORTHRIDGE,91324-5695,9301 TAMPA 91324-5695,POST OFFICE BOX #929,ALIEF,77411-0929,722110,Full-service restaurants,12,06/09/2013,,"(34.2391, -118.5535)"
0002587679-0001-2,HACIENDA PLAYA LLC,HACIENDA PLAYA,8415 PERSHING DRIVE #304,PLAYA DEL REY,90293-7843,8415 PERSHING 90293-7843,POST OFFICE BOX #882049,LOS ANGELES,90009-3020,722110,Full-service restaurants,11,12/01/2011,,"(33.9572, -118.443)"
0002630801-0002-8,SAMUEL FLORES DOMINIGUEZ / ALMA FLORES,MARISCOS GUAYABITOS # 3,12615   SAN FERNANDO ROAD,SYLMAR,91342-5025,12615 SAN FERNANDO 91342-5025,18073   ANNES CIRCLE   #104,CANYON COUNTRY,91387-6475,722110,Full-service restaurants,7,04/13/2016,,"(34.2982, -118.4588)"
0002975951-0001-4,KING & KING ENDEAVORS INC,BURGERIM,2849   12TH AVENUE,LOS ANGELES,90018-2802,2849 12TH 90018-2802,,,,722110,Full-service restaurants,10,01/03/2017,,"(34.0296, -118.3319)"
0003006870-0001-7,KING OF CRABS INC,,7610   RESEDA BLVD,RESEDA,91335-2822,7610 RESEDA 91335-2822,,,,722110,Full-service restaurants,12,09/13/2017,,"(34.2088, -118.5359)"
0003090203-0001-0,JGMG GROUP LLC,,19520   NORDHOFF STREET   SUITE #4,NORTHRIDGE,91324-2452,19520 NORDHOFF 91324-2452,19520   NORDHOFF STREET   SUITE #4,NORTHRIDGE,91324-2452,722110,Full-service restaurants,12,01/02/2019,,"(34.2349, -118.5589)"
0000023619-0001-7,C & K IMPORTING CO INC,C&K IMPORTING CO,2771 W PICO BLVD,LOS ANGELES,90006-3913,2771 PICO 90006-3913,2771 W PICO BLVD,LOS ANGELES,90006-3913,722110,Full-service restaurants,1,01/01/1949,,"(34.0472, -118.2997)"
0000025433-0001-5,PHU NGUYEN HA,ALPINE STORE,838 N BROADWAY UNIT #C,LOS ANGELES,90012-4372,838 BROADWAY 90012-4372,,,,722110,Full-service restaurants,1,04/21/1992,,"(34.0631, -118.2378)"
0002870342-0001-4,JECA MANAGEMENT GROUP INC,EL DELFIN FAMILY RESTAURANT,1800 S CENTRAL AVENUE,LOS ANGELES,90021-3033,1800 CENTRAL 90021-3033,,,,722110,Full-service restaurants,14,12/01/2015,,"(34.0251, -118.2498)"
0002537656-0013-3,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 10734 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #10734,1830 W 8TH STREET,LOS ANGELES,90057-4918,1830 8TH 90057-4918,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,1,01/03/2011,,"(34.0536, -118.2752)"
0000255559-0001-8,CEC ENTERTAINMENT INC,CHUCK E CHEESE'S,8425 RESEDA BLVD,NORTHRIDGE,91324-4625,8425 RESEDA 91324-4625,1707   MARKET PLACE   SUITE #200,IRVING,75063-8049,722110,Full-service restaurants,12,05/21/1985,,"(34.2231, -118.536)"
0002535550-0011-7,"AREAS USA LAX, LLC",FORDS FILLING STATION,400   WORLD WAY   #5G,LOS ANGELES,90045-5888,400 WORLD 90045-5888,5301 BLUE LAGOON DRIVE #690,MIAMI,33126-7034,722110,Full-service restaurants,11,06/01/2013,,"(33.9423, -118.4069)"
0002408528-0001-2,COMIDA MEXICANA RESTAURANT INC,,11406 HERRICK AVENUE #D,PACOIMA,91331-1833,11406 HERRICK 91331-1833,13248 CORNELIUS STREET,PACOIMA,91331-1825,722110,Full-service restaurants,7,02/04/2009,,"(34.2775, -118.4215)"
0002959644-0001-6,"POURING EXCHANGE, LLC",BARKADA,1253   VINE STREET,LOS ANGELES,90038-1662,1253 VINE 90038-1662,10500   YOLANDA AVENUE,PORTER RANCH,91326-3152,722110,Full-service restaurants,13,01/26/2017,,"(34.0941, -118.3273)"
0000645358-0003-9,PRODROMOS MIKE BEGAKIS,MONTEREY CONCESSIONS,4989 SEPULVEDA BLVD,SHERMAN OAKS,91403-1509,4989 SEPULVEDA 91403-1509,,,,722110,Full-service restaurants,4,09/01/2007,,"(34.161, -118.4661)"
0002763932-0006-1,SOCAL CONCESSIONS LLC,BARNEY'S BEANERY,1 WORLD WAY SPACE #240,LOS ANGELES,90045-5803,1 WORLD 90045-5803,1760 PEACHTREE STREET NW,ATLANTA,30309-2335,722110,Full-service restaurants,11,12/08/2015,,"(33.9453, -118.3995)"
0002853635-0001-8,ABBEY WAIUSIMBI,JALIZ CUISINE OF EAST AFRICA,14747 KITTRIDGE STREET,VAN NUYS,91405-3812,14747 KITTRIDGE 91405-3812,POST OFFICE BOX #9192,N HOLLYWOOD,91609-1192,722110,Full-service restaurants,6,07/14/2015,,"(34.1906, -118.4541)"
0002537656-0003-6,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 1067 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #1067,19640 NORDHOFF STREET,NORTHRIDGE,91324-2421,19640 NORDHOFF 91324-2421,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,12,01/03/2011,,"(34.2354, -118.561)"
0002537656-0008-7,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 5180 | CALIFORNIA FOOD MANAGEMENT,3101 N SAN FERNANDO ROAD,LOS ANGELES,90065-1412,3101 SAN FERNANDO 90065-1412,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.1149, -118.2459)"
0002537656-0016-8,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11406 | CALIFORNIA FOOD MANAGEMENT,6155 YORK BLVD,LOS ANGELES,90042-3547,6155 YORK 90042-3547,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,14,01/03/2011,,"(34.1162, -118.185)"
0002872299-0001-1,MIN 88 GROUP,CHEF MING'S KITCHEN,12239 SANTA MONICA BLVD,LOS ANGELES,90025-2517,12239 SANTA MONICA 90025-2517,,,,722110,Full-service restaurants,11,08/01/2015,,"(34.0398, -118.465)"
0002655724-0001-1,"NAAB CAFE, INC.",NAAB CAFE,1269 WESTWOOD BLVD,LOS ANGELES,90024-4811,1269 WESTWOOD 90024-4811,,,,722110,Full-service restaurants,5,02/01/2013,,"(34.0575, -118.4431)"
0002847342-0001-6,IPSILON LLC,,2478 FLETCHER DRIVE,LOS ANGELES,90039-2802,2478 FLETCHER 90039-2802,,,,722110,Full-service restaurants,13,08/11/2015,,"(34.1073, -118.2549)"
0002812843-0001-6,LIMITLESS MONEY INVESTING LLC,FATBURGER NORTH HOLLYWOOD,11009 BURBANK BLVD SUITE #126,NORTH HOLLYWOOD,91601-2458,11009 BURBANK 91601-2458,,,,722110,Full-service restaurants,2,03/10/2015,,"(34.1721, -118.3707)"
0002845003-0001-7,VILLAGE MEXICAN RESTAURANT LLC,XOC TEQUILA GRILL/XOC TACOS,6316 TOPANGA CANYON BLVD SUITE #1110,WOODLAND HILLS,91367-2214,6316 TOPANGA CANYON 91367-2214,,,,722110,Full-service restaurants,3,09/01/2015,,"(34.1853, -118.6058)"
0002639868-0001-9,E.A.S.T.,LITTLE CAESERS PIZZA STORE #2051-0001,619 S GAFFEY STREET,SAN PEDRO,90731-3026,619 GAFFEY 90731-3026,3870   PASEO DE LAS TORTUGAS,TORRANCE,90505-6320,722110,Full-service restaurants,15,05/14/2013,,"(33.7383, -118.2923)"
0002887671-0004-7,AREAS SKYVIEW LAX JV LLC,REILLY'S,100   WORLD WAY   SPACE #120,LOS ANGELES,90045-5870,100 WORLD 90045-5870,5301   BLUE LAGOON DRIVE   SUITE #690,MIAMI,33126-7034,722110,Full-service restaurants,11,12/01/2016,,"(33.9461, -118.401)"
0002828562-0001-4,"CAROPEZ, INC.",CASA DE CAFE,3207 E PICO BLVD,LOS ANGELES,90023-3712,3207 PICO 90023-3712,3207 E PICO BLVD,LOS ANGELES,90023-3712,722110,Full-service restaurants,14,06/01/2015,,"(34.0179, -118.2099)"
0002494212-0001-5,TOLUCA LAKE ZANKOU INC,,10760 RIVERSIDE DRIVE,N HOLLYWOOD,91602-2313,10760 RIVERSIDE 91602-2313,2360 E 48TH STREET,VERNON,90058-2026,722110,Full-service restaurants,4,02/01/2009,,"(34.1522, -118.3659)"
0000875384-0001-5,ELI YAHU BRAMI / SHELLY R SAMARA BRAMI,BRAMI'S PIZZA,17736 1/2 SHERMAN WAY,RESEDA,91335-3317,17736 SHERMAN 91335-3317,,,,722110,Full-service restaurants,3,04/01/2003,,"(34.201, -118.5196)"
0000024332-0001-5,CLINTONS RESTAURANTS INC,CLIFTON'S REPUBLIC,648 S BROADWAY,LOS ANGELES,90014-1807,648 BROADWAY 90014-1807,648 S BROADWAY     FLOOR #5,LOS ANGELES,90014-1807,722110,Full-service restaurants,14,04/01/1985,,"(34.0458, -118.2527)"
0000489678-0003-4,SIZZLER USA RESTAURANTS INC,SIZZLER #1226,2920 LOS FELIZ BLVD,LOS ANGELES,90039-1503,2920 LOS FELIZ 90039-1503,25910 ACERO SUITE #350,MISSION VIEJO,92691-7908,722110,Full-service restaurants,13,05/01/1970,,"(34.1254, -118.2648)"
0003144290-0001-1,EBISU SUSHI & TERIYAKI INC,EBISU SUSHI & TERIYAKI,6234   WILSHIRE BLVD,LOS ANGELES,90048-5104,6234 WILSHIRE 90048,,,,722110,Full-service restaurants,5,08/22/2019,,"(34.0629, -118.3647)"
0003143673-0004-8,BARRANCA INVESTMENT,,1141 S GAFFEY STREET,SAN PEDRO,90731-4035,1141 Gaffey 90731-4035,,,,722110,Full-service restaurants,15,08/01/2019,,"(33.7335, -118.2926)"
0000040200-0001-1,MEL-Z ENTERPRISE INC,JACK IN THE BOX 349,16945 SAN FERNANDO MISSION BLVD,GRANADA HILLS,91344-4250,16945 SAN FERNANDO MISSION 91344-4250,18614 UTOPIA COURT,CANYON COUNTRY,91351-3415,722110,Full-service restaurants,12,05/01/2003,,
0003144266-0001-8,TOUCH OF AEGEAN INC,NUKA CAFE,1510   WESTWOOD BLVD,LOS ANGELES,90024-5602,1510 WESTWOOD 90024-5602,,,,722110,Full-service restaurants,5,07/24/2019,,"(34.0538, -118.4401)"
0002569380-0001-2,JSP VENTURE INC,STAR #2 BBQ,601 S ARDMORE AVENUE,LOS ANGELES,90005-2314,601 ARDMORE 90005-2314,3075 WILSHIRE BLVD #212,LOS ANGELES,90010-1286,722110,Full-service restaurants,10,07/07/2011,,"(34.0635, -118.3015)"
0002281752-0001-1,ALBERTO MELQUIADES MONTA?O / FLORENTINA ALVARADO,LOS COMPADRES,640 N BROADWAY     SUITE #6,LOS ANGELES,90012-2815,640 BROADWAY 90012-2815,,,,722110,Full-service restaurants,1,10/11/2007,,"(34.0597, -118.2395)"
0000807342-0001-1,SLADJANA AND DUSAN SIMIC,IL SOGNO DELI,444 S SAN VICENTE BLVD #105,LOS ANGELES,90048-4166,444 SAN VICENTE 90048-4166,,,,722110,Full-service restaurants,5,04/01/2003,,"(34.0695, -118.3752)"
0002832322-0001-6,GULP PLAYA VISTA INC,,13020 PACIFIC PROMENADE SUITE #1,PLAYA VISTA,90094-2391,13020 PACIFIC PROMENADE 90094-2391,10 POINTE DRIVE SUITE #300,BREA,92821-7620,722110,Full-service restaurants,11,01/01/2015,,"(33.9728, -118.4232)"
0003143673-0003-0,BARRANCA INVESTMENT,,3822 E OLYMPIC BLVD,LOS ANGELES,90023-3113,3822 Olympic 90023-3113,,,,722110,Full-service restaurants,14,08/01/2019,,"(34.0186, -118.1925)"
0003142936-0001-0,"JL INVESTMENT GROUP - HIGHLAND PARK, INC.",BAJA CALI FISH & TACOS - HIGHLAND PARK,5831 N FIGUEROA STREET,LOS ANGELES,90042-4227,5831 FIGUEROA 90042,2001 W VALLEY BLVD,ALHAMBRA,91803-1923,722110,Full-service restaurants,1,08/05/2019,,"(34.1105, -118.1913)"
0003144724-0001-5,MIRAK SYK CORP,MIRAK,1134 S WESTERN AVENUE   #A2,LOS ANGELES,90006-2356,1134 WESTERN 90006-2356,431 S BURNSIDE AVENUE   #6C,LOS ANGELES,90036-5381,722110,Full-service restaurants,10,08/22/2019,,"(34.0497, -118.3087)"
0003144227-0001-8,HAY CAFE INC,,313 N FIGUEROA STREET   FLOOR #10,LOS ANGELES,90012-2602,313 FIGUEROA 90012-2602,451 S HARVARD BLVD   #325,LOS ANGELES,90020-3473,722110,Full-service restaurants,14,09/04/2019,,"(34.0598, -118.2494)"
0003143433-0001-2,"DAMDA FOODS, LLC",KARMA INDIAN CUISINE,23460   CINEMA DRIVE   SUITE #J,VALENCIA,91355-1764,23460 CINEMA 91355,23460   CINEMA DRIVE   SUITE #J,VALENCIA,91355-1764,722110,Full-service restaurants,0,08/01/2019,,"(34.4193, -118.5463)"
0000048133-0001-5,BACARO LLC,THE 3RD STOP,8636 W 3RD STREET,LOS ANGELES,90048-3323,8636 3RD 90048-3323,,,,722110,Full-service restaurants,5,11/10/2003,,
0003141620-0001-7,NGUYEN PHO VIET CALI INC,PHO VIET CALI,18111   SATICOY STREET,RESEDA,91335-3120,18111 SATICOY 91335-3120,,,,722110,Full-service restaurants,12,07/15/2019,,"(34.2085, -118.5277)"
0000489678-0005-1,SIZZLER USA RESTAURANTS INC,SIZZLER #852,7131 VAN NUYS BLVD,VAN NUYS,91405-3006,7131 VAN NUYS 91405-3006,25910 ACERO SUITE #350,MISSION VIEJO,92691-7908,722110,Full-service restaurants,6,01/25/1988,,"(34.2, -118.4487)"
0003141859-0001-5,HAMOV ANUSH HOTOV LAVASH INC,HAMOV ANUSH HOTOV XOROVAC,7147   BELLAIRE AVENUE,NORTH HOLLYWOOD,91605-5233,7147 BELLAIRE 91605-5233,,,,722110,Full-service restaurants,2,08/06/2019,,"(34.2007, -118.4097)"
0003143673-0002-1,BARRANCA INVESTMENT,,1108 E PACIFIC COAST HIGHWAY,WILMINGTON,90744-2729,1108 Pacific Coast 90744-2729,,,,722110,Full-service restaurants,15,08/01/2019,,"(33.7906, -118.249)"
0000051605-0002-8,LUIS E MERCADO-ALVARADO IV,,1415 N AVALON BLVD,WILMINGTON,90744-1506,1415 AVALON 90744-1506,POST OFFICE BOX #244,WILMINGTON,90748-0244,722110,Full-service restaurants,15,01/01/2007,,"(33.7916, -118.2633)"
0003144124-0001-6,YUDAI SAKUMA,MR.RAMEN,341  1/2 E 1ST STREET,LOS ANGELES,90012-3901,341 1ST 90012-3901,,,,722110,Full-service restaurants,14,08/20/2019,,"(34.0498, -118.2396)"
0000489678-0004-2,SIZZLER USA RESTAURANTS INC,SIZZLER #1628,400 S VERMONT AVENUE,LOS ANGELES,90020-1910,400 VERMONT 90020-1910,25910   ACERO     SUITE #350,MISSION VIEJO,92691-7908,722110,Full-service restaurants,13,05/02/1983,,"(34.0673, -118.2916)"
0000054319-0006-0,IN-N-OUT BURGERS A CALIFORNIA CORPORATION,IN-N-OUT BURGER #35,9858 BALBOA BLVD,NORTHRIDGE,91325-1904,9858 BALBOA 91325-1904,4199 CAMPUS DRIVE FLOOR #9TH,IRVINE,92612-8604,722110,Full-service restaurants,12,12/18/1984,,
0002979319-0001-6,OMG GREAT CUISINE,,18420   HART STREET,RESEDA,91335-4317,18420 HART 91335-4317,39218   BUCKSKIN COURT,PALMDALE,93551-4150,722110,Full-service restaurants,3,04/05/2017,,"(34.1971, -118.5342)"
0002853154-0001-0,AMERICANA BUFFET AND GRILL,,3650 W MARTIN LUTHER KING JR BLVD UNIT #287,LOS ANGELES,90008-1784,3650 MARTIN LUTHER KING JR 90008-1784,3650 W MARTIN LUTHER KING JR BLVD UNIT #287,LOS ANGELES,90008-1784,722110,Full-service restaurants,8,09/15/2015,,"(34.0114, -118.3363)"
0002850458-0001-1,FERNANNDO RESTREPO,EATNAKED.LA,11310 VANOWEN STREET,NORTH HOLLYWOOD,91605-6320,11310 VANOWEN 91605-6320,,,,722110,Full-service restaurants,2,08/25/2015,,"(34.1939, -118.3772)"
0002281752-0002-0,ALBERTO MELQUIADES MONTA?O / FLORENTINA ALVARADO,TAQUERIA AL PASTOR,5179 SANTA MONICA BLVD,LOS ANGELES,90029-2427,5179 SANTA MONICA 90029-2427,,,,722110,Full-service restaurants,13,10/24/2008,,"(34.0908, -118.303)"
0003143660-0001-6,KRISTOPHER A RAHENDRA,CEYLON FOODS,160 S VIRGIL AVENUE   BUILDING #1206,LOS ANGELES,90004-6056,160 VIRGIL 90004-6056,,,,722110,Full-service restaurants,13,08/01/2019,,"(34.0719, -118.2862)"
0003143673-0001-3,BARRANCA INVESTMENT,,843   PACIFIC COAST HIGHWAY,HARBOR CITY,90710-3105,843 Pacific Coast 90710-3105,,,,722110,Full-service restaurants,15,08/01/2019,,"(33.7914, -118.2904)"
0002835370-0001-7,"MITAKI-SUN, INC.",MITAKI JAPANESE RESTAURANT,1234 WILSHIRE BLVD #105,LOS ANGELES,90017-1970,1234 WILSHIRE 90017-1970,,,,722110,Full-service restaurants,1,05/20/2015,,"(34.0532, -118.2654)"
0002460847-0001-0,EL GALLITO LLC,EL GALLITO RESTAURANTE,3425 E 1ST STREET #102,LOS ANGELES,90063-2913,3425 1ST 90063-2913,11503 AEOLIAN STREET,WHITTIER,90606-3303,722110,Full-service restaurants,14,08/26/2009,,"(34.0367, -118.1941)"
0002934014-0001-7,SIRIKORN STAPORNKUL,MINT GARDEN THAI RESTAURANT,4850   VAN NUYS BLVD,SHERMAN OAKS,91403-2101,4850 VAN NUYS 91403-2101,,,,722110,Full-service restaurants,4,07/01/2016,,"(34.1591, -118.4485)"
0003096496-0001-6,YELLOW HOUSE GROUP,,234 S OXFORD AVENUE,LOS ANGELES,90004-5105,234 OXFORD 90004-5105,234 S OXFORD AVENUE,LOS ANGELES,90004-5105,722110,Full-service restaurants,10,01/01/2019,,"(34.0701, -118.3076)"
0003143952-0001-6,THE SEAFOOD XPERIENCE LLC,THE SEAFOOD XPERIENCE LLC,2100 W FLORENCE AVENUE      #C,LOS ANGELES,90047-2137,2100 FLORENCE 90047-2137,,,,722110,Full-service restaurants,8,08/01/2019,,"(33.9743, -118.3158)"
0003143616-0001-5,JENNIFER VANESSA TEJADA,PEANUT BUTTER & JENNY,600 W 52ND STREET,LOS ANGELES,90037-3312,600 52ND 90037-3312,,,,722110,Full-service restaurants,9,08/16/2019,,"(33.9955, -118.2842)"
0000392918-0001-1,CRP ALAGH CORPORATION,SUBWAY,19300 RINALDI STREET #D,NORTHRIDGE,91326-3773,19300 RINALDI 91326-3773,11925 LOUISE AVENUE,GRANADA HILLS,91344-2449,722110,Full-service restaurants,12,02/01/2004,,"(34.2752, -118.5519)"
0003122433-0002-1,"5 LINE MANAGEMENT, LLC",5 LINE TAVERN,2136   COLORADO BLVD   #A,LOS ANGELES,90041-1242,2136 COLORADO 90041-1242,,,,722110,Full-service restaurants,14,04/23/2019,,"(34.1388, -118.2133)"
0003076640-0001-4,"BRBP, LP",,1033   SWARTHMORE AVENUE,PACIFIC PALISADES,90272-2506,1033 SWARTHMORE 90272-2506,101   THE GROVE DRIVE,LOS ANGELES,90036-6221,722110,Full-service restaurants,11,09/21/2018,,"(34.0481, -118.5253)"
