Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From,Approval User
TXN-0004697,Bill,2024-10-13,Oct 2024,BIL-783280,Partially Paid,Yes,Zoom,6100,R&D Expense,Consulting services,SKU-SUP-PREM,Premium Support,3.0,Month,1864.67,EUR,1.09,14807.15,1406.68,16213.83,16139.79,Enso US,US-West,Finance,Mid-Market,Due on Receipt,,,Jane Miller
TXN-0004698,Journal Entry,2024-10-27,Oct 2024,JOU-688123,Posted,Yes,Dell,1000,Checking,Support plan,,,,,,USD,1.0,29528.42,0.0,29528.42,29528.42,Enso EU,US-West,Finance,Enterprise,,,,Amelia Wong
TXN-0004699,Cash Sale,2024-10-12,Oct 2024,CAS-793680,Paid,Yes,Massive Dynamic Inc,4200,Product Revenue,Subscription,SKU-ENSO-PRO,Enso Pro License,3.25,Each,801.81,USD,1.0,18133.5,906.68,19040.18,18133.5,Enso UK,EU-Central,Finance,SMB,,Wire,,Noah Smith
TXN-0004700,Bill,2024-10-04,Oct 2024,BIL-503174,Open,Yes,Stripe,6000,Sales & Marketing,Hardware purchase,SKU-ENSO-TEAM,Enso Team License,3.73,Each,510.34,EUR,1.09,8732.48,829.59,9562.07,9518.4,Enso UK,EU-Central,Sales,SMB,Net 30,,,
TXN-0004701,Item Receipt,2024-10-02,Oct 2024,ITE-355102,Received,Yes,Cloudflare,1200,Inventory,Hardware purchase,SKU-SUP-STD,Standard Support,1.69,Month,388.67,USD,1.0,8631.59,431.58,9063.17,8631.59,Enso UK,US-West,Marketing,Mid-Market,,,,Elena Petrova
TXN-0004702,Invoice,2024-10-24,Oct 2024,INV-244467,Paid In Full,Yes,Initech Inc,4000,Revenue,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,7.87,Each,912.52,EUR,1.09,502.67,0.0,502.67,547.91,Enso EU,US-West,Finance,Internal,Net 45,,,
TXN-0004703,Customer Payment,2024-10-27,Oct 2024,CUS-583181,Undeposited,Yes,Soylent Partners,4100,Services Revenue,Consulting services,,,,,,GBP,1.27,8798.92,0.0,8798.92,11174.63,Enso EU,US-West,HR,Enterprise,,ACH,,Priya Shah
TXN-0004704,Bill,2024-10-28,Oct 2024,BIL-385892,Paid In Full,Yes,Cisco,5000,COGS,Consulting services,SKU-ENSO-TEAM,Enso Team License,2.04,Each,1808.63,USD,1.0,7141.59,0.0,7141.59,7141.59,Enso US,US-East,Finance,Mid-Market,Net 15,,,Marcus Johnson
TXN-0004705,Transfer,2024-10-29,Oct 2024,TRA-994282,Completed,Yes,Dell,1100,Accounts Receivable,License renewal,,,,,,USD,1.0,27493.39,0.0,27493.39,27493.39,Enso EU,US-West,Sales,Mid-Market,,,,Elena Petrova
TXN-0004706,Bank Deposit,2024-10-26,Oct 2024,BAN-786058,Deposited,Yes,Cloudflare,3000,Equity,Cloud services,,,,,,USD,1.0,24774.51,0.0,24774.51,24774.51,Enso US,UK-South,Marketing,Internal,,ACH,,Amelia Wong
TXN-0004707,Vendor Payment,2024-10-22,Oct 2024,VEN-948446,Processed,Yes,Accenture,6000,Sales & Marketing,Monthly charge,,,,,,USD,1.0,2515.84,0.0,2515.84,2515.84,Enso US,EU-Central,Operations,Internal,,Check,,
TXN-0004708,Item Receipt,2024-10-10,Oct 2024,ITE-103211,Received,Yes,Stripe,1200,Inventory,Training session,SKU-SUP-PREM,Premium Support,7.29,Month,2208.57,USD,1.0,1735.26,164.85,1900.11,1735.26,Enso UK,UK-South,Finance,Internal,,,,Jane Miller
TXN-0004709,Journal Entry,2024-10-29,Oct 2024,JOU-436241,Posted,Yes,HP,1200,Inventory,Monthly charge,,,,,,EUR,1.09,36583.99,0.0,36583.99,39876.55,Enso EU,UK-South,Finance,SMB,,,,
TXN-0004710,Invoice,2024-10-10,Oct 2024,INV-306583,Open,Yes,Tyrell Inc,4100,Services Revenue,Quarterly true-up,SKU-ENSO-PRO,Enso Pro License,9.67,Each,1588.0,USD,1.0,15166.89,758.34,15925.23,15166.89,Enso US,US-West,HR,SMB,Net 45,,,
TXN-0004711,Expense Report,2024-10-15,Oct 2024,EXP-589738,Approved,Yes,Stripe,5000,COGS,Monthly charge,SKU-ENSO-PRO,Enso Pro License,6.67,Each,2201.66,USD,1.0,12720.4,636.02,13356.42,12720.4,Enso EU,US-East,R&D,Enterprise,,,,
TXN-0004712,Bill,2024-10-23,Oct 2024,BIL-593509,Partially Paid,Yes,AWS,6100,R&D Expense,Subscription,SKU-SUP-STD,Standard Support,3.24,Month,376.71,USD,1.0,2900.3,275.53,3175.83,2900.3,Enso EU,US-West,R&D,Enterprise,Due on Receipt,,,Maya Patel
TXN-0004713,Invoice,2024-10-03,Oct 2024,INV-537456,Paid In Full,Yes,Soylent LLC,4100,Services Revenue,Inventory receipt,SKU-ENSO-TEAM,Enso Team License,9.43,Each,163.65,USD,1.0,1259.84,110.24,1370.08,1259.84,Enso EU,US-East,Marketing,Mid-Market,Due on Receipt,,,
TXN-0004714,Vendor Payment,2024-10-25,Oct 2024,VEN-345149,Processed,Yes,Zoom,6100,R&D Expense,Hardware purchase,,,,,,USD,1.0,9395.78,0.0,9395.78,9395.78,Enso US,UK-South,Finance,SMB,,Credit Card,,
TXN-0004715,Bank Deposit,2024-10-03,Oct 2024,BAN-688666,Deposited,Yes,Deloitte,1000,Checking,Subscription,,,,,,USD,1.0,33109.19,0.0,33109.19,33109.19,Enso EU,US-East,HR,Enterprise,,Wire,,Maya Patel
TXN-0004716,Invoice,2024-10-27,Oct 2024,INV-578068,Paid In Full,Yes,Aperture Inc,4100,Services Revenue,Travel & meals,SKU-ENSO-TEAM,Enso Team License,1.12,Each,1584.2,USD,1.0,3448.39,172.42,3620.81,3448.39,Enso UK,EU-Central,Sales,Mid-Market,Net 45,,,Amelia Wong
TXN-0004717,Vendor Payment,2024-10-01,Oct 2024,VEN-425821,Processed,Yes,Oracle,5000,COGS,Support plan,,,,,,USD,1.0,1659.18,0.0,1659.18,1659.18,Enso US,US-West,Finance,Internal,,ACH,,Elena Petrova
TXN-0004718,Bank Deposit,2024-10-13,Oct 2024,BAN-164162,Deposited,Yes,HP,1100,Accounts Receivable,Promotion credit,,,,,,USD,1.0,33507.18,0.0,33507.18,33507.18,Enso EU,UK-South,Sales,Mid-Market,,Check,,Maya Patel
TXN-0004719,Bill,2024-10-29,Oct 2024,BIL-365423,Open,Yes,Salesforce,6200,G&A Expense,License renewal,SKU-SUP-PREM,Premium Support,1.52,Month,1857.43,USD,1.0,14759.01,737.95,15496.96,14759.01,Enso EU,UK-South,Marketing,Internal,Net 45,,,Jane Miller
TXN-0004720,Vendor Credit,2024-10-13,Oct 2024,VEN-114463,Applied,Yes,AWS,5000,COGS,Training session,SKU-ENSO-TEAM,Enso Team License,4.95,Each,298.94,USD,1.0,-2244.79,0.0,-2244.79,-2244.79,Enso EU,US-East,R&D,Enterprise,,,,Ethan Brown
TXN-0004721,Expense Report,2024-10-31,Oct 2024,EXP-352626,Approved,Yes,Fastly,6200,G&A Expense,Consulting services,SKU-ENSO-PRO,Enso Pro License,4.34,Each,1516.86,USD,1.0,6285.78,597.15,6882.93,6285.78,Enso UK,US-West,Marketing,Mid-Market,,,,Noah Smith
TXN-0004722,Item Receipt,2024-10-20,Oct 2024,ITE-856528,Received,Yes,Accenture,1200,Inventory,License renewal,SKU-ENSO-TEAM,Enso Team License,8.58,Each,1033.88,USD,1.0,5206.52,0.0,5206.52,5206.52,Enso EU,EU-Central,HR,Internal,,,,Derrick Cho
TXN-0004723,Bill,2024-10-22,Oct 2024,BIL-813176,Paid In Full,Yes,Oracle,6000,Sales & Marketing,Support plan,SKU-ENSO-PRO,Enso Pro License,10.91,Each,2140.22,USD,1.0,965.36,91.71,1057.07,965.36,Enso US,UK-South,R&D,Enterprise,Net 45,,,Marcus Johnson
TXN-0004724,Cash Sale,2024-10-26,Oct 2024,CAS-728162,Paid,Yes,Tyrell LLC,4200,Product Revenue,Quarterly true-up,SKU-ENSO-TEAM,Enso Team License,2.9,Each,1626.43,USD,1.0,6955.22,608.58,7563.8,6955.22,Enso UK,US-West,Operations,Mid-Market,,Wire,,Ethan Brown
TXN-0004725,Bill,2024-10-02,Oct 2024,BIL-807711,Open,Yes,Dell,6200,G&A Expense,Training session,SKU-SUP-PREM,Premium Support,7.5,Month,1231.02,USD,1.0,10460.96,523.05,10984.01,10460.96,Enso EU,EU-Central,HR,Mid-Market,Net 45,,,
TXN-0004726,Transfer,2024-10-19,Oct 2024,TRA-867208,Completed,Yes,Fastly,5100,Freight Out,Cloud services,,,,,,USD,1.0,18231.27,0.0,18231.27,18231.27,Enso US,US-East,Sales,Internal,,,,
TXN-0004727,Customer Payment,2024-10-05,Oct 2024,CUS-833545,Undeposited,Yes,Stark Inc,4200,Product Revenue,Inventory receipt,,,,,,USD,1.0,24695.12,0.0,24695.12,24695.12,Enso US,US-West,R&D,Mid-Market,,Check,,Priya Shah
TXN-0004728,Invoice,2024-10-31,Oct 2024,INV-905512,Open,Yes,Tyrell LLC,4200,Product Revenue,Consulting services,SKU-ENSO-TEAM,Enso Team License,7.25,Each,894.89,USD,1.0,3353.67,293.45,3647.12,3353.67,Enso UK,EU-Central,Marketing,Mid-Market,Net 45,,,Liam O'Connor
TXN-0004729,Bill,2024-10-05,Oct 2024,BIL-548949,Partially Paid,Yes,Stripe,6200,G&A Expense,Travel & meals,SKU-TRNG-01,Admin Training,6.22,Hour,1760.91,USD,1.0,4382.38,383.46,4765.84,4382.38,Enso EU,EU-Central,HR,Enterprise,Net 45,,,Liam O'Connor
TXN-0004730,Expense Report,2024-10-24,Oct 2024,EXP-195836,Paid,Yes,Deloitte,6000,Sales & Marketing,Support plan,SKU-TRNG-01,Admin Training,1.54,Hour,2116.76,USD,1.0,12665.95,633.3,13299.25,12665.95,Enso US,US-East,Sales,Internal,,,,Noah Smith
TXN-0004731,Expense Report,2024-10-04,Oct 2024,EXP-533340,Paid,Yes,Google Cloud,6200,G&A Expense,Travel & meals,SKU-ENSO-TEAM,Enso Team License,6.78,Each,1335.69,USD,1.0,11783.94,1031.09,12815.03,11783.94,Enso UK,US-East,HR,Mid-Market,,,,Liam O'Connor
TXN-0004732,Journal Entry,2024-10-07,Oct 2024,JOU-748669,Posted,Yes,Fastly,2100,Accrued Expenses,Cloud services,,,,,,USD,1.0,44969.86,0.0,44969.86,44969.86,Enso UK,US-West,Sales,SMB,,,,
TXN-0004733,Journal Entry,2024-10-10,Oct 2024,JOU-307906,Approved,Yes,HP,6000,Sales & Marketing,Cloud services,,,,,,USD,1.0,37782.4,0.0,37782.4,37782.4,Enso EU,US-West,Finance,Internal,,,,Maya Patel
TXN-0004734,Bill,2024-10-15,Oct 2024,BIL-300960,Partially Paid,Yes,KPMG,6000,Sales & Marketing,License renewal,SKU-ENSO-PRO,Enso Pro License,10.16,Each,2029.07,GBP,1.27,3212.01,0.0,3212.01,4079.25,Enso UK,UK-South,Marketing,Internal,Net 15,,,Derrick Cho
TXN-0004735,Bill,2024-10-12,Oct 2024,BIL-542262,Open,Yes,Microsoft,6000,Sales & Marketing,Cloud services,SKU-ENSO-TEAM,Enso Team License,5.12,Each,1098.3,USD,1.0,14891.29,0.0,14891.29,14891.29,Enso EU,UK-South,Marketing,SMB,Net 30,,,Marcus Johnson
TXN-0004736,Cash Sale,2024-10-29,Oct 2024,CAS-806098,Paid,Yes,Globex Partners,4100,Services Revenue,Support plan,SKU-SUP-STD,Standard Support,4.3,Month,1695.53,USD,1.0,23467.0,0.0,23467.0,23467.0,Enso US,US-West,Sales,Internal,,Check,,
TXN-0004737,Bill,2024-10-31,Oct 2024,BIL-574311,Partially Paid,Yes,Dell,6000,Sales & Marketing,Cloud services,SKU-SUP-STD,Standard Support,5.58,Month,2270.79,USD,1.0,14115.62,1340.98,15456.6,14115.62,Enso EU,UK-South,HR,Mid-Market,Net 15,,,Carlos Ortiz
TXN-0004738,Transfer,2024-10-07,Oct 2024,TRA-531024,Completed,Yes,AWS,6200,G&A Expense,Monthly charge,,,,,,USD,1.0,37070.02,0.0,37070.02,37070.02,Enso EU,EU-Central,HR,Enterprise,,,,Priya Shah
TXN-0004739,Credit Memo,2024-10-28,Oct 2024,CRE-436272,Open,Yes,Vehement Partners,4200,Product Revenue,Cloud services,SKU-ENSO-TEAM,Enso Team License,11.46,Each,1565.29,USD,1.0,-7883.23,0.0,-7883.23,-7883.23,Enso EU,US-East,R&D,Enterprise,,,,Sophia Garcia
TXN-0004740,Invoice,2024-10-10,Oct 2024,INV-666568,Partially Paid,Yes,Acme Inc,4000,Revenue,Quarterly true-up,SKU-TRNG-01,Admin Training,4.37,Hour,711.3,USD,1.0,575.46,28.77,604.23,575.46,Enso UK,US-East,Finance,Internal,Net 30,,,Marcus Johnson
TXN-0004741,Customer Payment,2024-10-10,Oct 2024,CUS-836359,Undeposited,Yes,Wayne LLC,4200,Product Revenue,Quarterly true-up,,,,,,USD,1.0,19099.54,0.0,19099.54,19099.54,Enso US,EU-Central,HR,Internal,,ACH,,Elena Petrova
TXN-0004742,Vendor Payment,2024-10-03,Oct 2024,VEN-316936,Processed,Yes,Accenture,5000,COGS,Consulting services,,,,,,USD,1.0,13660.87,0.0,13660.87,13660.87,Enso EU,US-West,Operations,Mid-Market,,Check,,Marcus Johnson
TXN-0004743,Vendor Payment,2024-10-12,Oct 2024,VEN-926561,Processed,Yes,Dell,6100,R&D Expense,Training session,,,,,,USD,1.0,5067.28,0.0,5067.28,5067.28,Enso EU,US-West,HR,Enterprise,,Check,,
TXN-0004744,Bill,2024-10-21,Oct 2024,BIL-309102,Partially Paid,Yes,Dell,6100,R&D Expense,Cloud services,SKU-SUP-STD,Standard Support,6.87,Month,2146.7,USD,1.0,9118.97,455.95,9574.92,9118.97,Enso US,UK-South,Finance,Internal,Net 45,,,Sophia Garcia
TXN-0004745,Customer Payment,2024-10-09,Oct 2024,CUS-374840,Undeposited,Yes,Aperture LLC,4100,Services Revenue,Travel & meals,,,,,,USD,1.0,9175.23,0.0,9175.23,9175.23,Enso EU,EU-Central,Operations,Internal,,Credit Card,,Elena Petrova
TXN-0004746,Invoice,2024-10-19,Oct 2024,INV-773203,Partially Paid,Yes,Tyrell Inc,4200,Product Revenue,Travel & meals,SKU-ENSO-PRO,Enso Pro License,3.21,Each,2433.34,USD,1.0,19201.12,1680.1,20881.22,19201.12,Enso US,US-West,HR,SMB,Net 45,,,Priya Shah
TXN-0004747,Invoice,2024-10-28,Oct 2024,INV-611884,Paid In Full,Yes,Hooli Inc,4100,Services Revenue,Support plan,SKU-TRNG-01,Admin Training,5.44,Hour,163.72,USD,1.0,1349.6,0.0,1349.6,1349.6,Enso UK,US-West,Finance,SMB,Net 30,,,Maya Patel
TXN-0004748,Cash Sale,2024-10-21,Oct 2024,CAS-711174,Paid,Yes,Aperture Partners,4000,Revenue,Cloud services,SKU-SUP-STD,Standard Support,2.5,Month,1500.39,USD,1.0,15767.28,788.36,16555.64,15767.28,Enso EU,UK-South,HR,Enterprise,,Wire,,
TXN-0004749,Transfer,2024-10-28,Oct 2024,TRA-741044,Completed,Yes,Oracle,4200,Product Revenue,Hardware purchase,,,,,,USD,1.0,38892.21,0.0,38892.21,38892.21,Enso EU,EU-Central,Sales,SMB,,,,Liam O'Connor
TXN-0004750,Invoice,2024-10-07,Oct 2024,INV-639163,Open,Yes,Cyberdyne LLC,4200,Product Revenue,Consulting services,SKU-SUP-STD,Standard Support,1.0,Month,1269.87,USD,1.0,13479.68,1280.57,14760.25,13479.68,Enso US,US-East,Finance,Mid-Market,Net 15,,,Sophia Garcia
TXN-0004751,Transfer,2024-10-28,Oct 2024,TRA-743986,Completed,Yes,Cisco,6000,Sales & Marketing,Travel & meals,,,,,,USD,1.0,12883.25,0.0,12883.25,12883.25,Enso EU,US-East,Operations,Mid-Market,,,,Elena Petrova
TXN-0004752,Bill,2024-10-04,Oct 2024,BIL-610383,Partially Paid,Yes,Oracle,6100,R&D Expense,Inventory receipt,SKU-ENSO-TEAM,Enso Team License,6.06,Each,1958.03,USD,1.0,265.01,25.18,290.19,265.01,Enso UK,UK-South,R&D,Enterprise,Net 45,,,Sophia Garcia
TXN-0004753,Item Receipt,2024-10-16,Oct 2024,ITE-389372,Received,Yes,Fastly,1200,Inventory,Training session,SKU-ENSO-PRO,Enso Pro License,4.45,Each,1756.41,USD,1.0,4781.28,454.22,5235.5,4781.28,Enso US,US-West,Finance,Internal,,,,Amelia Wong
TXN-0004754,Invoice,2024-10-17,Oct 2024,INV-561029,Open,Yes,Initech LLC,4000,Revenue,Quarterly true-up,SKU-TRNG-01,Admin Training,2.21,Hour,1468.53,USD,1.0,8549.88,427.49,8977.37,8549.88,Enso US,UK-South,Operations,Internal,Net 30,,,Marcus Johnson
TXN-0004755,Bill,2024-10-08,Oct 2024,BIL-189533,Paid In Full,Yes,KPMG,6200,G&A Expense,Cloud services,SKU-SUP-PREM,Premium Support,2.96,Month,665.76,USD,1.0,6685.82,585.01,7270.83,6685.82,Enso US,US-East,Finance,Mid-Market,Due on Receipt,,,Sophia Garcia
TXN-0004756,Bill,2024-10-10,Oct 2024,BIL-622516,Open,Yes,Stripe,6000,Sales & Marketing,Hardware purchase,SKU-SUP-PREM,Premium Support,3.65,Month,2203.31,USD,1.0,1334.68,66.73,1401.41,1334.68,Enso UK,US-West,HR,Enterprise,Net 15,,,Elena Petrova
TXN-0004757,Expense Report,2024-10-10,Oct 2024,EXP-764870,Approved,Yes,Cloudflare,5000,COGS,Training session,SKU-TRNG-01,Admin Training,3.16,Hour,1893.38,USD,1.0,323.36,16.17,339.53,323.36,Enso EU,US-East,Marketing,Mid-Market,,,,Priya Shah
TXN-0004758,Bill,2024-10-26,Oct 2024,BIL-120607,Open,Yes,AWS,6100,R&D Expense,Hardware purchase,SKU-SUP-PREM,Premium Support,4.21,Month,1885.26,USD,1.0,8770.08,833.16,9603.24,8770.08,Enso US,UK-South,Operations,Mid-Market,Due on Receipt,,,Noah Smith
TXN-0004759,Vendor Payment,2024-10-20,Oct 2024,VEN-512119,Processed,Yes,HP,6000,Sales & Marketing,Hardware purchase,,,,,,USD,1.0,4485.64,0.0,4485.64,4485.64,Enso US,US-East,Sales,Mid-Market,,Credit Card,,Priya Shah
TXN-0004760,Cash Sale,2024-10-01,Oct 2024,CAS-313945,Paid,Yes,Aperture Inc,4100,Services Revenue,Monthly charge,SKU-SUP-PREM,Premium Support,10.6,Month,758.46,GBP,1.27,12183.23,1066.03,13249.26,15472.7,Enso US,UK-South,Operations,Internal,,Wire,,Derrick Cho
TXN-0004761,Bill,2024-10-26,Oct 2024,BIL-347864,Open,Yes,HP,5000,COGS,Monthly charge,SKU-ENSO-PRO,Enso Pro License,5.43,Each,1335.88,USD,1.0,12815.01,1121.31,13936.32,12815.01,Enso US,US-East,HR,Enterprise,Net 45,,,Marcus Johnson
TXN-0004762,Invoice,2024-10-14,Oct 2024,INV-634046,Partially Paid,Yes,Vehement Corp,4000,Revenue,Cloud services,SKU-ENSO-PRO,Enso Pro License,5.64,Each,987.84,USD,1.0,7349.32,367.47,7716.79,7349.32,Enso EU,UK-South,Finance,Internal,Net 45,,,Carlos Ortiz
TXN-0004763,Journal Entry,2024-10-23,Oct 2024,JOU-336764,Approved,Yes,Accenture,1100,Accounts Receivable,License renewal,,,,,,EUR,1.09,44122.61,0.0,44122.61,48093.64,Enso UK,UK-South,HR,Enterprise,,,,Amelia Wong
TXN-0004764,Invoice,2024-10-16,Oct 2024,INV-747468,Partially Paid,Yes,Initech Partners,4200,Product Revenue,Subscription,SKU-ENSO-TEAM,Enso Team License,6.14,Each,1772.84,USD,1.0,23073.54,1153.68,24227.22,23073.54,Enso UK,EU-Central,Marketing,Internal,Net 30,,,Liam O'Connor
TXN-0004765,Invoice,2024-10-22,Oct 2024,INV-982009,Partially Paid,Yes,Hooli LLC,4100,Services Revenue,Quarterly true-up,SKU-SUP-PREM,Premium Support,9.01,Month,1875.16,GBP,1.27,4546.23,431.89,4978.12,5773.71,Enso EU,EU-Central,Sales,Enterprise,Due on Receipt,,,Derrick Cho
TXN-0004766,Invoice,2024-10-08,Oct 2024,INV-665278,Paid In Full,Yes,Pied Piper LLC,4100,Services Revenue,Support plan,SKU-SUP-STD,Standard Support,8.42,Month,2456.6,USD,1.0,20616.25,1958.54,22574.79,20616.25,Enso US,US-East,R&D,Mid-Market,Due on Receipt,,,Derrick Cho
TXN-0004767,Bank Deposit,2024-10-05,Oct 2024,BAN-804759,Deposited,Yes,Salesforce,6200,G&A Expense,Subscription,,,,,,USD,1.0,7767.5,0.0,7767.5,7767.5,Enso EU,UK-South,R&D,SMB,,Wire,,Sophia Garcia
TXN-0004768,Bill,2024-10-24,Oct 2024,BIL-555032,Open,Yes,AWS,6000,Sales & Marketing,Promotion credit,SKU-ENSO-PRO,Enso Pro License,3.3,Each,2467.37,USD,1.0,4787.48,418.9,5206.38,4787.48,Enso US,US-West,Marketing,Internal,Net 15,,,Carlos Ortiz
TXN-0004769,Journal Entry,2024-10-22,Oct 2024,JOU-322575,Approved,Yes,Dell,6200,G&A Expense,Inventory receipt,,,,,,USD,1.0,18436.46,0.0,18436.46,18436.46,Enso US,US-East,Finance,Internal,,,,Marcus Johnson
TXN-0004770,Journal Entry,2024-10-07,Oct 2024,JOU-967242,Approved,Yes,Fastly,2000,Accounts Payable,Promotion credit,,,,,,USD,1.0,134.13,0.0,134.13,134.13,Enso US,US-West,Operations,Internal,,,,Ethan Brown
TXN-0004771,Invoice,2024-10-07,Oct 2024,INV-295040,Partially Paid,Yes,Vehement Corp,4200,Product Revenue,Subscription,SKU-ENSO-TEAM,Enso Team License,11.65,Each,2299.79,GBP,1.27,16290.21,0.0,16290.21,20688.57,Enso EU,US-West,Marketing,Mid-Market,Due on Receipt,,,Ethan Brown
TXN-0004772,Vendor Payment,2024-10-05,Oct 2024,VEN-753482,Processed,Yes,Stripe,6000,Sales & Marketing,Consulting services,,,,,,USD,1.0,2492.05,0.0,2492.05,2492.05,Enso EU,UK-South,Finance,Mid-Market,,Credit Card,,Elena Petrova
TXN-0004773,Bill,2024-10-13,Oct 2024,BIL-814502,Partially Paid,Yes,Stripe,6100,R&D Expense,Cloud services,SKU-ENSO-TEAM,Enso Team License,3.98,Each,36.47,USD,1.0,11146.98,1058.96,12205.94,11146.98,Enso UK,UK-South,Operations,SMB,Net 45,,,
TXN-0004774,Item Receipt,2024-10-12,Oct 2024,ITE-686238,Received,Yes,Deloitte,1200,Inventory,Consulting services,SKU-SUP-STD,Standard Support,6.37,Month,862.07,USD,1.0,17353.38,0.0,17353.38,17353.38,Enso EU,US-West,Sales,Internal,,,,Maya Patel
TXN-0004775,Customer Payment,2024-10-20,Oct 2024,CUS-682712,Deposited,Yes,Wayne LLC,4100,Services Revenue,Inventory receipt,,,,,,USD,1.0,1825.54,0.0,1825.54,1825.54,Enso UK,UK-South,R&D,SMB,,Wire,,Carlos Ortiz
TXN-0004776,Vendor Credit,2024-10-16,Oct 2024,VEN-831806,Open,Yes,Google Cloud,6100,R&D Expense,Promotion credit,SKU-SUP-STD,Standard Support,7.96,Month,2642.93,USD,1.0,-757.54,0.0,-757.54,-757.54,Enso US,EU-Central,R&D,Internal,,,,Sophia Garcia
TXN-0004777,Journal Entry,2024-10-28,Oct 2024,JOU-742336,Approved,Yes,Zoom,5100,Freight Out,Monthly charge,,,,,,USD,1.0,558.2,0.0,558.2,558.2,Enso EU,US-West,Operations,Mid-Market,,,,Jane Miller
TXN-0004778,Bill,2024-10-11,Oct 2024,BIL-306812,Partially Paid,Yes,HP,5000,COGS,Promotion credit,SKU-SUP-STD,Standard Support,5.69,Month,567.19,USD,1.0,8764.69,438.23,9202.92,8764.69,Enso EU,UK-South,HR,SMB,Net 45,,,Liam O'Connor
TXN-0004779,Invoice,2024-10-21,Oct 2024,INV-863590,Open,Yes,Soylent Inc,4100,Services Revenue,Inventory receipt,SKU-SUP-PREM,Premium Support,8.61,Month,2495.41,GBP,1.27,6177.96,308.9,6486.86,7846.01,Enso UK,UK-South,Marketing,SMB,Net 15,,,Elena Petrova
